u1_add,u1_del,u2_add,u2_del,u3_add,u3_del,u4_add,u4_del,u1_speak,u2_speak,u3_speak,u4_speak,gini_group_speak,gini_group_add,gini_group_del,sum_group_speak,sum_group_add,sum_group_del,u1_turns,u2_turns,u3_turns,u4_turns,group,dataset,pca_1,pca_2,pca_3,pca_4,entropy_group_speak,entropy_group_add,entropy_group_del
0,0,0,0,0,0,0,0,10.8,7.800000000000002,0.8,2.2,0.47522521666260875,0.0,0.0,21.6,0.0,0.0,14.0,2.0,1.0,6.0,1,1,-3.006878881637191,0.17809116175238665,-0.963337786240085,0.2273107274064972,1.5424026923721237,0.0,0.0
0,0,0,0,0,0,0,0,9.8,5.0,0.4,4.0,0.47522521666260875,0.0,0.0,19.200000000000003,0.0,0.0,12.0,3.0,0.0,6.0,1,1,-2.6197022784660837,0.025567593950632943,-1.2122645341319291,-0.022661079098311405,1.5885484485986505,0.0,0.0
0,0,0,0,0,0,0,0,1.0,4.800000000000002,3.0,8.8,0.47522521666260875,0.0,0.0,17.6,0.0,0.0,11.0,3.0,0.0,4.0,1,1,-2.019333538030655,-0.23838527789903563,-1.2147980780750547,-0.007518887116822641,1.6813964976610085,0.0,0.0
0,0,0,0,0,0,0,0,1.2000000000000002,6.4,11.4,4.2,0.47522521666260875,0.0,0.0,23.200000000000003,0.0,0.0,11.0,5.0,1.0,6.0,1,1,-3.122844359676261,-0.11692336537857405,-0.6074188381736305,0.3652704584240059,1.6836433081442,0.0,0.0
0,0,0,0,0,0,0,0,10.8,4.2,5.2,1.2000000000000002,0.47522521666260875,0.0,0.0,21.4,0.0,0.0,9.0,5.0,0.0,2.0,1,1,-2.543333582435973,-0.27344806534932486,-0.5724665474399822,0.20017816974082933,1.687973540876132,0.0,0.0
0,0,0,0,0,0,0,0,7.6,10.0,0.4,2.8000000000000003,0.47522521666260875,0.0,0.0,20.8,0.0,0.0,7.0,6.0,0.0,1.0,1,1,-2.0146583566974097,-0.16636381720400156,-0.18500218995517292,0.17124139563100715,1.5377760267141793,0.0,0.0
0,0,0,0,0,0,0,0,5.6000000000000005,9.8,0.4,5.0,0.47522521666260875,0.0,0.0,20.8,0.0,0.0,10.0,6.0,0.0,5.0,1,1,-2.608577803479382,0.06684026035277744,-0.49533936961075015,0.09339039448855978,1.6252173631062246,0.0,0.0
0,0,0,0,0,0,0,0,11.0,2.2,1.0,3.6,0.47522521666260875,0.0,0.0,17.8,0.0,0.0,10.0,3.0,1.0,4.0,1,1,-2.043213007704425,-0.2981783171849092,-1.2146304426702166,-0.0007404958749065759,1.5016118292892633,0.0,0.0
0,0,0,0,0,0,0,0,1.2000000000000002,3.0,2.6,14.2,0.47522521666260875,0.0,0.0,21.0,0.0,0.0,14.0,3.0,0.0,4.0,1,1,-2.883571962281796,-0.20808136643607855,-1.1031107603504577,0.019839126834578887,1.3918560342459196,0.0,0.0
0,0,0,0,0,0,0,0,6.0,10.2,1.8,3.0,0.47522521666260875,0.0,0.0,21.0,0.0,0.0,10.0,5.0,1.0,5.0,1,1,-2.5032876540664573,0.03774815297241328,-0.49923603374669373,0.22269027125263527,1.727263667609833,0.0,0.0
0,0,0,0,0,0,1,0,1.6,1.2000000000000002,6.4,10.2,0.47522521666260875,0.0,0.0,19.4,1.0,0.0,12.0,1.0,0.0,8.0,1,1,-2.684527818789662,-0.11143623578772476,-1.7991810024976471,-0.1679244096286067,1.560701837600806,0.0,0.0
0,0,0,0,0,0,0,0,8.200000000000001,0.6000000000000001,4.4,4.4,0.47522521666260875,0.0,0.0,17.6,0.0,0.0,4.0,4.0,0.0,9.0,1,1,-1.9376954916016143,-0.2655614123405543,-1.6499963960327053,-0.4207571406032595,1.6795508128242747,0.0,0.0
2,0,1,0,0,0,0,1,1.0,5.2,1.0,6.6000000000000005,0.47522521666260875,0.0,0.0,13.8,3.0,1.0,8.0,0.0,0.0,5.0,1,1,-0.8982487136132955,0.015754161043396036,-1.8407855184474233,-0.31791405980782644,1.58829663707714,0.9182958340544896,0.0
