SMU,CF,KE,ARG,STR,CO,ITO,final
1.0,1.0,2.0,2.0,2.0,1.0,1.75,10.75
2.0,2.0,2.0,0.0,2.0,1.0,2.0,11.0
-1.0,2.0,1.0,1.0,1.0,0.0,2.0,6.0
2.0,1.0,1.0,1.0,-2.0,1.0,2.0,6.0
1.0,1.0,2.0,0.0,1.0,1.0,1.75,7.75
1.0,-2.0,0.0,0.0,1.0,1.0,-0.25,0.75
1.0,-1.0,1.0,1.0,-2.0,-1.0,2.0,1.0
2.0,2.0,2.0,2.0,1.0,1.0,2.0,12.0
2.0,2.0,2.0,2.0,-2.0,1.0,2.0,9.0
-1.0,-1.0,1.0,0.0,-2.0,1.0,1.75,-0.25
2.0,1.0,2.0,1.0,1.0,1.0,1.75,9.75
2.0,1.0,2.0,0.0,1.0,0.0,1.75,7.75
2.0,2.0,2.0,1.0,1.0,1.0,1.75,10.75
2.0,-2.0,0.0,0.0,0.0,1.0,-1.5,-0.5
2.0,1.0,2.0,2.0,2.0,1.0,1.75,11.75
-2.0,1.0,1.0,-1.0,-2.0,-2.0,1.75,-3.25
1.0,-1.0,2.0,1.0,-2.0,0.0,0.25,1.25
1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0
2.0,2.0,2.0,0.0,1.0,1.0,1.75,9.75
2.0,-1.0,2.0,0.0,1.0,2.0,0.5,6.5
1.0,1.0,2.0,0.0,2.0,2.0,2.0,10.0
1.0,1.0,2.0,0.0,1.0,2.0,1.75,8.75
1.0,1.0,1.0,1.0,0.0,1.0,1.75,6.75
2.0,1.0,2.0,0.0,-2.0,1.0,1.75,5.75
2.0,1.0,1.0,1.0,1.0,1.0,1.75,8.75
1.0,2.0,2.0,1.0,2.0,1.0,1.75,10.75
2.0,2.0,1.0,1.0,-2.0,2.0,2.0,8.0
1.0,1.0,2.0,1.0,-2.0,0.0,1.5,4.5
1.0,2.0,1.0,1.0,1.0,1.0,2.0,9.0
2.0,0.0,2.0,0.0,1.0,0.0,1.75,6.75
1.0,2.0,2.0,1.0,2.0,1.0,2.0,11.0
2.0,-1.0,0.0,1.0,-2.0,-1.0,1.75,0.75
2.0,2.0,2.0,2.0,-2.0,1.0,2.0,9.0
-1.0,-2.0,0.0,1.0,-2.0,-1.0,1.5,-3.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.75,7.75
2.0,1.0,2.0,1.0,1.0,2.0,1.75,10.75
2.0,0.0,1.0,0.0,-2.0,2.0,1.5,4.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.75,7.75
1.0,1.0,0.0,1.0,1.0,1.0,1.75,6.75
2.0,0.0,2.0,0.0,-2.0,1.0,2.0,5.0
2.0,1.0,2.0,1.0,1.0,1.0,2.0,10.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
2.0,0.0,2.0,2.0,-2.0,1.0,1.75,6.75
1.0,1.0,2.0,2.0,1.0,1.0,1.75,9.75
1.0,1.0,1.0,-2.0,2.0,0.0,1.75,4.75
2.0,2.0,2.0,1.0,-2.0,1.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
2.0,1.0,2.0,1.0,-2.0,1.0,1.75,6.75
0.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0
1.0,1.0,1.0,1.0,2.0,-1.0,2.0,7.0
2.0,-1.0,0.0,0.0,-2.0,1.0,-0.5,-0.5
0.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0
1.0,-1.0,1.0,1.0,-2.0,1.0,2.0,3.0
2.0,2.0,2.0,1.0,1.0,2.0,2.0,12.0
2.0,1.0,2.0,1.0,-2.0,2.0,2.0,8.0
1.0,0.0,2.0,0.0,-2.0,1.0,1.5,3.5
2.0,1.0,2.0,2.0,-2.0,1.0,1.5,7.5
2.0,0.0,2.0,1.0,2.0,1.0,1.5,9.5
1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0
2.0,1.0,2.0,1.0,1.0,-1.0,1.75,7.75
1.0,1.0,2.0,1.0,-2.0,1.0,1.5,5.5
-1.0,0.0,1.0,0.0,1.0,-1.0,1.5,1.5
-1.0,0.0,0.0,0.0,-2.0,1.0,1.25,-0.75
