words,wh-words,we-words,I-words,U-words
41,1,4,1,0
42,0,3,0,0
42,0,0,1,1
35,0,1,0,1
40,3,2,1,0
35,0,1,0,0
43,1,4,0,0
65,2,3,1,1
57,1,0,0,4
55,0,2,1,1
34,0,1,0,0
56,1,3,0,1
50,1,1,1,0
46,1,0,2,2
46,1,4,0,0
45,0,0,1,1
28,0,0,0,0
30,0,0,0,0
16,1,0,0,0
28,1,1,0,0
58,1,0,2,0
28,0,0,0,1
19,0,1,1,0
46,0,0,1,0
21,0,1,0,0
45,0,2,0,1
20,0,1,0,0
37,0,0,3,0
26,1,0,2,0
4,0,0,0,0
48,1,3,2,0
48,2,0,6,1
19,0,1,0,0
18,1,0,0,0
1,0,0,0,0
49,1,2,0,0
20,0,0,2,0
15,0,0,1,0
37,0,0,0,2
38,0,0,1,0
26,1,0,0,1
18,0,0,0,1
37,1,1,0,1
35,0,0,1,0
54,0,3,1,0
27,1,1,3,1
28,1,0,0,1
17,0,0,1,0
30,0,0,0,0
68,0,3,2,3
43,0,2,0,0
15,0,0,0,1
39,0,1,3,1
25,1,0,1,0
53,1,3,1,0
46,1,1,2,0
24,1,2,0,0
57,1,3,1,0
24,1,0,0,0
43,2,1,1,2
15,0,0,0,1
48,1,4,1,0
10,0,0,0,1
10,0,0,0,0
1,0,0,0,0
2,0,0,0,0
9,0,0,0,0
8,0,0,0,0
10,0,0,0,0
3,0,0,0,0
7,0,0,0,0
13,0,0,0,0
5,0,0,0,1
15,0,0,0,0
14,0,0,0,1
21,0,0,2,0
15,0,0,0,0
19,1,0,2,0
10,0,0,0,0
8,0,0,0,0
10,0,0,0,0
3,0,0,0,0
13,0,0,0,0
18,0,0,0,0
13,0,0,1,0
14,0,0,0,0
3,0,0,0,0
8,0,0,0,1
7,0,0,0,0
1,0,0,0,0
6,0,0,0,1
3,0,0,0,0
5,0,0,0,0
5,0,0,0,0
6,0,0,0,0
4,0,0,0,0
13,0,0,0,2
24,0,1,0,0
4,0,0,0,0
3,0,0,0,0
1,0,0,0,0
15,0,0,0,1
3,0,0,0,0
12,1,0,3,0
5,0,0,0,0
6,0,0,1,0
9,0,0,1,0
1,0,0,0,0
5,0,0,0,0
23,0,0,1,0
9,0,0,0,0
23,1,0,2,0
5,0,0,2,0
1,0,0,0,0
18,0,0,0,0
12,0,0,1,0
11,0,0,0,1
2,0,0,0,0
9,0,0,0,0
3,0,0,0,0
6,0,0,0,0
12,0,0,0,0
51,0,3,1,0
2,0,0,0,0
51,2,0,3,0
23,1,0,0,0
29,1,0,0,0
32,1,0,0,0
34,1,0,1,3
16,0,1,0,0
41,0,0,1,0
12,0,0,0,0
25,0,0,0,0
20,1,0,2,0
34,1,2,0,0
78,0,0,2,2
25,0,0,0,0
42,0,0,0,2
18,0,0,0,1
20,0,0,0,1
46,0,0,0,2
38,1,0,1,2
31,1,0,0,0
29,0,0,1,0
34,1,0,0,2
15,0,0,0,0
40,1,2,3,0
37,0,0,0,1
31,0,2,0,0
25,1,0,0,1
13,0,0,0,0
1,0,0,0,0
26,0,2,1,1
19,0,0,0,0
17,0,0,0,0
29,0,2,0,0
35,0,0,0,0
45,0,0,0,2
1,0,0,0,0
11,0,0,1,0
37,1,0,1,0
8,0,1,0,0
21,0,1,0,0
13,0,0,1,0
44,1,0,2,2
45,1,0,0,1
47,1,1,0,1
20,0,0,0,0
18,0,1,0,0
33,0,0,0,0
1,0,0,0,0
16,1,0,0,0
45,1,5,0,0
16,0,0,0,0
10,0,0,0,0
11,0,0,0,0
8,0,0,0,0
19,0,0,0,0
30,0,2,0,0
38,0,2,0,0
29,0,0,0,1
9,0,0,0,0
5,0,0,0,0
10,0,0,0,0
21,0,0,0,0
11,1,0,0,0
21,1,0,0,2
5,0,0,0,0
33,1,1,1,2
29,0,0,0,0
31,0,0,0,0
