u1_add,u1_del,u2_add,u2_del,u3_add,u3_del,u4_add,u4_del,u1_speak,u2_speak,u3_speak,u4_speak,u1_turns,u2_turns,u3_turns,u4_turns
0,0,0,0,0,0,0,0,10.8,2.2,0.8,7.800000000000002,14,2,1,6
0,0,0,0,0,0,0,0,9.8,4.0,0.4,5.0,12,3,0,6
0,0,0,0,0,0,0,0,8.8,3.0,1.0,4.800000000000002,11,3,0,4
0,0,0,0,0,0,0,0,11.4,4.2,1.2000000000000002,6.4,11,5,1,6
0,0,0,0,0,0,0,0,10.8,5.2,1.2000000000000002,4.2,9,5,0,2
0,0,0,0,0,0,0,0,10.0,7.6,0.4,2.8000000000000003,7,6,0,1
0,0,0,0,0,0,0,0,9.8,5.0,0.4,5.6000000000000005,10,6,0,5
0,0,0,0,0,0,0,0,11.0,2.2,1.0,3.6,10,3,1,4
0,0,0,0,0,0,0,0,14.2,2.6,1.2000000000000002,3.0,14,3,0,4
0,0,0,0,0,0,0,0,10.2,6.0,1.8,3.0,10,5,1,5
0,0,0,0,0,0,1,0,10.2,1.6,1.2000000000000002,6.4,12,1,0,8
0,0,0,0,0,0,0,0,4.4,4.4,0.6000000000000001,8.200000000000001,4,4,0,9
2,0,1,0,0,0,0,1,6.6000000000000005,1.0,1.0,5.2,8,0,0,5
50,13,0,1,0,0,0,0,9.2,1.4,1.4,3.6,10,1,1,2
34,1,0,0,0,0,0,0,5.6000000000000005,1.8,0.2,6.4,6,3,0,8
2,0,0,0,0,0,8,3,2.4000000000000004,3.8,0.8,6.0,3,4,1,8
0,0,2,0,0,0,85,0,6.6000000000000005,3.0,0.6000000000000001,4.6000000000000005,5,3,0,6
0,0,0,0,0,0,48,0,6.2,1.8,0.0,4.800000000000002,7,1,0,6
0,0,0,0,1,0,31,4,3.8,4.2,0.0,5.6000000000000005,7,3,0,5
0,0,2,0,63,3,7,8,7.6,1.4,0.0,1.4,4,2,0,2
6,0,80,5,42,1,2,2,7.800000000000002,1.2000000000000002,0.6000000000000001,4.4,8,1,0,3
105,8,60,0,0,0,0,0,7.2,4.6000000000000005,1.2000000000000002,4.4,10,5,0,6
20,2,0,0,0,0,0,0,2.0,5.0,1.0,7.0,2,7,0,4
0,0,0,0,0,0,0,0,3.2,2.2,1.0,6.2,4,2,1,5
0,0,0,0,0,0,0,0,11.2,2.2,0.8,8.4,12,2,0,7
38,2,0,0,0,0,0,0,6.800000000000002,1.0,2.8000000000000003,2.4000000000000004,3,1,4,3
0,1,0,0,0,0,0,0,5.0,3.4000000000000004,0.8,5.0,6,4,0,6
26,0,2,0,0,0,24,0,5.0,1.6,0.8,7.6,8,2,1,9
1,0,0,0,0,0,189,0,5.2,3.6,0.2,3.8,6,6,0,7
31,0,106,0,0,0,0,0,5.6000000000000005,5.0,2.2,2.4000000000000004,6,7,2,2
46,11,0,0,0,0,0,0,8.6,2.2,2.4000000000000004,3.4000000000000004,9,2,2,3
0,0,0,0,0,0,0,0,15.8,1.4,0.8,2.8000000000000003,13,1,0,4
0,0,0,0,0,0,0,0,8.4,2.4000000000000004,0.0,4.4,8,2,0,4
49,3,0,0,0,0,0,0,8.0,2.0,1.6,4.0,10,1,2,6
0,0,133,39,0,0,58,4,8.8,2.0,0.6000000000000001,5.800000000000002,8,3,0,9
0,0,37,0,0,0,72,3,8.0,4.6000000000000005,1.2000000000000002,5.4,8,5,2,8
0,0,0,0,0,0,2,0,11.0,4.6000000000000005,0.8,3.6,10,4,1,4
0,0,0,0,0,1,0,0,8.0,2.0,1.0,7.4,7,2,1,6
0,0,0,0,0,0,0,0,10.6,2.0,1.2000000000000002,2.2,11,2,1,0
0,0,0,0,0,0,0,0,6.2,1.2000000000000002,0.8,4.0,4,1,1,4
0,0,0,0,0,0,0,0,8.8,0.8,0.8,3.2,4,1,0,4
0,0,0,0,0,0,0,0,9.6,2.2,2.0,3.4000000000000004,9,1,2,4
0,0,0,0,0,0,0,0,10.4,2.0,1.0,1.8,7,3,2,0
0,0,0,0,0,0,0,0,12.2,1.8,1.4,1.2000000000000002,11,3,2,1
0,0,0,0,0,0,0,0,6.6000000000000005,2.6,0.8,2.2,9,2,1,3
0,0,0,0,0,0,0,0,9.4,1.6,0.4,2.4000000000000004,8,2,0,2
