,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,0,0,0,0,0,10.8,2.2,0.8,7.8000000000000025,14,2,1,6,41,1,4,1,0
1,0,0,0,0,0,0,0,0,9.8,4.0,0.4,5.0,12,3,0,6,42,0,3,0,0
2,0,0,0,0,0,0,0,0,8.8,3.0,1.0,4.800000000000002,11,3,0,4,42,0,0,1,1
3,0,0,0,0,0,0,0,0,11.4,4.2,1.2000000000000002,6.4,11,5,1,6,35,0,1,0,1
4,0,0,0,0,0,0,0,0,10.8,5.2,1.2000000000000002,4.2,9,5,0,2,40,3,2,1,0
5,0,0,0,0,0,0,0,0,10.0,7.6,0.4,2.8000000000000003,7,6,0,1,35,0,1,0,0
6,0,0,0,0,0,0,0,0,9.8,5.0,0.4,5.6000000000000005,10,6,0,5,43,1,4,0,0
7,0,0,0,0,0,0,0,0,11.0,2.2,1.0,3.6,10,3,1,4,65,2,3,1,1
8,0,0,0,0,0,0,0,0,14.2,2.6,1.2000000000000002,3.0,14,3,0,4,57,1,0,0,4
9,0,0,0,0,0,0,0,0,10.2,6.0,1.8,3.0,10,5,1,5,55,0,2,1,1
10,0,0,0,0,0,0,1,0,10.2,1.6,1.2000000000000002,6.4,12,1,0,8,34,0,1,0,0
11,0,0,0,0,0,0,0,0,4.4,4.4,0.6000000000000001,8.200000000000001,4,4,0,9,56,1,3,0,1
12,2,0,1,0,0,0,0,1,6.6000000000000005,1.0,1.0,5.2,8,0,0,5,50,1,1,1,0
13,50,13,0,1,0,0,0,0,9.2,1.4,1.4,3.6,10,1,1,2,46,1,0,2,2
14,34,1,0,0,0,0,0,0,5.6000000000000005,1.8,0.2,6.4,6,3,0,8,46,1,4,0,0
15,2,0,0,0,0,0,8,3,2.4000000000000004,3.8,0.8,6.0,3,4,1,8,45,0,0,1,1
16,0,0,2,0,0,0,85,0,6.6000000000000005,3.0,0.6000000000000001,4.6000000000000005,5,3,0,6,28,0,0,0,0
