frame,start,end,SMU,CF,KE,ARG,STR,CO,u1,u2,u3,u4,notes
1,00:00:00,00:00:30,1,1,2,2,2,1,2,2,2,1,user 2 says they can start from the outline and says that user 4 should take the paper to start drawing
2,00:00:30,00:01:00,2,2,2,0,2,1,2,2,2,2,user 2 says just draw smth
3,00:01:00,00:01:30,-1,2,1,1,1,0,2,2,2,2,user 2 and 3 almost started arguing :)
4,00:01:30,00:02:00,2,1,1,1,-2,1,2,2,2,2,
5,00:02:00,00:02:30,1,1,2,0,1,1,2,2,1,2,user 3 talks about where her ruler is
6,00:02:30,00:03:00,1,-2,0,0,1,1,-2,1,-2,2,"user 1,2 and 3 are slightly distracted"
7,00:03:00,00:03:30,1,-1,1,1,-2,-1,2,2,2,2,user 3: let´s just say the same
8,00:03:30,00:04:00,2,2,2,2,1,1,2,2,2,2,"all engaged, slight argument, but nothing mean :) they are sort of planning without verbalising it; I do not knwo whether they were actually listening to one another"
9,00:04:00,00:04:30,2,2,2,2,-2,1,2,2,2,2,user 2 and 3 apologising
10,00:04:30,00:05:00,-1,-1,1,0,-2,1,1,2,2,2,
11,00:05:00,00:05:30,2,1,2,1,1,1,1,2,2,2,"they wanted to share roles, but users 4 and 2 reminded others to do it collaboratively; they made sure everyone understood how they are going to proceed"
12,00:05:30,00:06:00,2,1,2,0,1,0,2,2,2,1,"user 3 says she is confused, but noone really reacts; user 3 and 2 at times overlap"
13,00:06:00,00:06:30,2,2,2,1,1,1,2,2,1,2,"user 1 says they need the function (they need to start discussing this issue), asks who wants to write it?;"
14,00:06:30,00:07:00,2,-2,0,0,0,1,-2,-2,-1,-1,all group off topic
15,00:07:00,00:07:30,2,1,2,2,2,1,2,2,2,1,user 1 asks whether the others also remember things the same way she does
16,00:07:30,00:08:00,-2,1,1,-1,-2,-2,2,2,2,1,"user 1 disagrees, but user 3 dismisses her fast; I would say that needs to be -2 for SMU and -1 for ARG, as here a question was asked and then very briefly answered, so practically dismissed, this is also the reason for giving -2 for CO; user 1 has trouble with the computer, asks user 2 for help"
17,00:08:00,00:08:30,1,-1,2,1,-2,0,2,-2,-1,2,"user 2 starts talking about the lights on the Raspberry Pi, thus -1 for CF, I would say that it did disturb the flow of the collaboration, user 4 starts talking actively,  user 2 starts distracting with the lights"
18,00:08:30,00:09:00,1,0,1,0,1,0,2,2,0,0,"user 1 reads out the task (structure), they were conscerned about the lights being off, but went back to the task quite swiftly"
19,00:09:00,00:09:30,2,2,2,0,1,1,2,2,1,2,"user 1 seems to have taken on a more dominant role in the group; although user 3 did not say much, she still seemed to be very actively listening and moving her mouth :) and that is why I put down 2 points for CF"
20,00:09:30,00:10:00,2,-1,2,0,1,2,1,1,-2,2,"user 2 tells user 4 that he can write it; user 3 off topic; user 1 encouraged user 4 by saying that yes, we should put that down, you should write it."
21,00:10:00,00:10:30,1,1,2,0,2,2,2,2,2,2,"they noticed that there had been added two differetn concepts to on table, so they separated them, user 1 said- yeah, let´s do that, it is much better and I considered it as planning :) "
