words,wh-words,we-words,I-words,U-words
21,1,0,0,2
5,0,0,0,0
33,1,1,1,2
29,0,0,0,0
31,0,0,0,0
9,0,0,2,0
23,1,0,0,0
38,0,0,1,1
6,1,0,0,0
46,0,0,0,1
14,0,0,1,1
22,1,0,0,2
60,1,1,0,3
11,0,0,0,0
12,0,1,0,0
8,0,0,0,0
9,0,0,1,0
10,0,0,0,0
23,0,0,1,0
43,1,0,1,1
18,0,0,0,0
19,0,0,1,1
10,0,0,0,0
17,0,0,0,0
17,0,0,0,0
50,0,0,0,2
31,0,0,1,0
36,0,0,1,0
40,0,0,1,0
40,0,1,0,1
35,0,0,0,0
4,0,0,0,0
1,0,0,0,0
30,0,0,1,1
42,0,0,0,2
22,0,0,0,1
9,0,0,0,0
47,0,1,0,2
14,0,0,0,0
22,1,1,0,0
8,0,0,0,0
36,1,1,1,1
25,0,0,1,0
28,0,1,0,0
30,2,1,0,0
15,1,0,1,0
28,1,0,0,1
3,0,0,0,0
14,0,0,0,0
26,1,1,0,0
4,0,1,0,0
11,0,1,1,0
71,0,2,1,3
64,1,1,0,1
1,0,0,0,0
10,0,0,0,0
13,0,0,0,0
8,0,0,0,0
51,0,1,0,1
4,0,0,0,0
26,0,0,0,1
53,1,0,3,0
46,1,0,2,0
27,1,1,1,1
21,0,1,3,0
